Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
120105,Junin,Huancayo,CHACAPAMPA,810,"120,72",52.53,"12,60",,,,
120106,Junin,Huancayo,CHICCHE,901,"45,92",66.72,"19,90",,,,
120107,Junin,Huancayo,CHILCA,87993,"8,3",75.63,"17,20",,,,
120108,Junin,Huancayo,CHONGOS ALTO,1339,"701,75",76.57,"20,30",,,,
120111,Junin,Huancayo,CHUPURO,1752,"13,56",71.98,"31,00",,,,
120112,Junin,Huancayo,COLCA,2068,"113,25",71.91,"14,00",,,,
120113,Junin,Huancayo,CULLHUAS,2204,"108,01",74.16,"31,90",,,,
120114,Junin,Huancayo,EL TAMBO,166163,"73,56",70.79,"11,50",,,,
120116,Junin,Huancayo,HUACRAPUQUIO,1274,"24,1",67.26,"25,60",,,,
120117,Junin,Huancayo,HUALHUAS,4630,"24,82",65.82,"20,70",,,,
120119,Junin,Huancayo,HUANCAN,21744,12,75.85,"22,70",,,,
120134,Junin,Huancayo,SICAYA,8166,"42,73",74.81,"23,10",,,,
120136,Junin,Huancayo,VIQUES,2247,"3,57",66.13,"22,10",,,,
120402,Junin,Jauja,ACOLLA,7215,"122,4",64.84,"29,60",,,,
120403,Junin,Jauja,APATA,4084,"421,62",76.47,"30,70",,,,
120434,Junin,Jauja,YAUYOS,9360,"20,54",60.68,"20,50",,,,
120502,Junin,Junin,CARHUAMAYO,7768,"219,68",69.95,"33,70",,,,
120501,Junin,Junin,JUNIN,9492,"883,8",73.00,"23,70",,,,
120503,Junin,Junin,ONDORES,1828,"254,46",64.65,"45,70",,,,
120504,Junin,Junin,ULCUMAYO,5783,"1129,37",72.21,"70,60",,,,
120602,Junin,Satipo,COVIRIALI,6332,"145,13",72.90,"79,20",,,,
120603,Junin,Satipo,LLAYLLA,6417,"180,39",61.17,"89,40",,,,
120604,Junin,Satipo,MAZAMARI,65014,"2219,63",74.09,"69,30",,,,
120706,Junin,Tarma,PALCA,5585,"378,08",65.18,"35,60",,,,
120707,Junin,Tarma,PALCAMAYO,9573,"169,24",76.32,"51,70",,,,
120708,Junin,Tarma,SAN PEDRO DE CAJAS,5669,"537,31",82.91,"36,40",,,,
120709,Junin,Tarma,TAPO,6073,"151,88",81.05,"57,50",,,,
120701,Junin,Tarma,TARMA,46130,"459,95",82.25,"21,80",,,,
120802,Junin,Yauli,CHACAPALPA,704,"183,06",61.44,"56,10",,,,
120810,Junin,Yauli,YAULI,5113,"424,16",89.46,"22,60",,,,
130201,La Libertad,Ascope,ASCOPE,6676,"290,18",88.20,"14,90",,,,
130208,La Libertad,Ascope,CASA GRANDE,31875,"687,6",83.24,"13,60",,,,
130305,La Libertad,Bolivar,UCHUMARCA,2762,"190,53",73.42,"18,20",,,,
130306,La Libertad,Bolivar,UCUNCHA,787,"98,41",89.80,"35,20",,,,
130401,La Libertad,Chepen,CHEPEN,49927,"287,34",88.66,"16,20",,,,
130402,La Libertad,Chepen,PACANGA,24913,"583,93",81.95,"16,60",,,,
130403,La Libertad,Chepen,PUEBLO NUEVO,15458,"271,16",84.66,"18,00",,,,
131101,La Libertad,Gran Chimu,CASCAS,14386,"465,67",75.79,"23,10",,,,
131102,La Libertad,Gran Chimu,LUCMA,7210,"280,38",62.75,"27,70",,,,
131103,La Libertad,Gran Chimu,MARMOT,2054,"300,25",95.73,"32,70",,,,
131201,La Libertad,Viru,VIRU,71152,"1072,95",94.06,"19,10",,,,
140116,Lambayeque,Chiclayo,CAYALTI,15915,"162,86",97.03,"19,90",,,,
140102,Lambayeque,Chiclayo,CHONGOYAPE,18101,712,95.23,"20,60",,,,
140205,Lambayeque,Ferreñafe,PITIPO,24214,"558,18",82.92,"18,40",,,,
140303,Lambayeque,Lambayeque,ILLIMO,9415,"24,37",87.28,"25,40",,,,
150204,Lima,Barranca,SUPE,23345,"512,92",87.99,"28,60",,,,
150402,Lima,Canta,ARAHUAY,796,"134,29",91.46,"45,60",,,,
150604,Lima,Huaral,AUCALLAMA,20446,"729,41",82.06,"39,80",,,,
150701,Lima,Huarochiri,MATUCANA,3584,"179,44",83.58,"30,40",,,,
150810,Lima,Huaura,SANTA MARIA,35132,"127,51",95.31,"22,70",,,,
150104,Lima,Lima,BARRANCO,29424,"3,33",94.06,"5,30",,,,
150111,Lima,Lima,EL AGUSTINO,198366,"12,54",79.31,"14,60",,,,
150120,Lima,Lima,MAGDALENA DEL MAR,55786,"3,61",78.64,"3,50",,,,
150122,Lima,Lima,MIRAFLORES,82898,"9,62",95.63,"1,20",,,,
150130,Lima,Lima,SAN BORJA,114479,"9,96",91.26,"2,10",,,,
150131,Lima,Lima,SAN ISIDRO,54298,"11,1",97.18,"1,10",,,,
150132,Lima,Lima,SAN JUAN DE LURIGANCHO,1156300,"131,25",95.32,"19,40",,,,
150133,Lima,Lima,SAN JUAN DE MIRAFLORES,422389,"22,97",86.81,"15,50",,,,
151014,Lima,Yauyos,HUANCAYA,1424,"283,6",57.86,"82,00",,,,
160202,Loreto,Alto Amazonas,BALSAPUERTO,18042,"2954,17",80.91,"95,80",,,,
160205,Loreto,Alto Amazonas,JEBEROS,5453,"4253,68",90.85,"86,60",,,,
160704,Loreto,Datem del Marañon,MORONA,13609,"10776,95",89.83,"82,70",,,,
160705,Loreto,Datem del Marañon,PASTAZA,6496,"8908,91",93.79,"73,00",,,,
160301,Loreto,Loreto,NAUTA,30631,"6672,35",95.63,"65,50",,,,
160302,Loreto,Loreto,PARINARI,7331,"12934,74",82.50,"54,60",,,,
160113,Loreto,Maynas,SAN JUAN BAUTISTA,161819,"3117,05",81.74,"50,00",,,,
160110,Loreto,Maynas,TORRES CAUSANA,5238,"6795,14",62.19,"92,20",,,,
160801,Loreto,Putumayo,PUTUMAYO,4341,"10886,41",76.32,"53,60",,,,
160802,Loreto,Putumayo,ROSA PANDURO,745,"7038,69",96.35,"73,40",,,,
160511,Loreto,Requena,YAQUERANA,3090,"10947,16",85.38,"63,90",,,,
180303,Moquegua,Ilo,PACOCHA,3319,"338,08",88.55,"4,90",,,,
180106,Moquegua,Mariscal Nieto,TORATA,5784,"1793,37",83.97,"16,40",,,,
190202,Pasco,Daniel Alcides Carrion,CHACAYAN,4439,"198,58",97.00,"61,00",,,,
200210,Piura,Ayabaca,SUYO,12471,"1078,61",89.03,"48,60",,,,
200302,Piura,Huancabamba,CANCHAQUE,8173,"306,41",65.79,"33,50",,,,
200410,Piura,Morropon,YAMANGO,9715,"216,91",88.49,"39,80",,,,
200502,Piura,Paita,AMOTAPE,2336,"90,82",92.08,"53,60",,,,
200115,Piura,Piura,26 DE OCTUBRE,151916,"72,01",87.05,"32,90",,,,
200602,Piura,Sullana,BELLAVISTA,38621,"3,09",86.46,"33,10",,,,
200701,Piura,Talara,PARIÑAS,91278,"1116,99",73.29,"34,70",,,,
210302,Puno,Carabaya,AJOYANI,2140,"413,11",67.22,"41,50",,,,
210407,Puno,Chucuito,ZEPITA,19161,"546,57",91.56,"47,70",,,,
210502,Puno,El Collao,CAPAZO,2351,"1039,25",76.44,"36,10",,,,
210608,Puno,Huancane,VILQUE CHICO,8480,"499,38",87.67,"41,00",,,,
210702,Puno,Lampa,CABANILLA,5383,"443,04",79.56,"22,90",,,,
210809,Puno,Melgar,UMACHIRI,4504,"323,56",91.69,"21,80",,,,
210102,Puno,Puno,ACORA,28363,"1941,09",94.70,"32,60",,,,
211002,Puno,San Antonio de Putina,ANANEA,33728,"939,56",89.39,"80,50",,,,
211105,Puno,San Roman,SAN MIGUEL,54060,"121,8",80.61,"18,10",,,,
211209,Puno,Sandia,ALTO INAMBARI,9765,"1124,88",94.32,"70,30",,,,
220304,San Martin,El Dorado,SANTA ROSA,10704,"243,41",65.28,"65,50",,,,
220406,San Martin,Huallaga,TINGO DE SAPOSOA,661,"37,29",79.53,"26,70",,,,
220502,San Martin,Lamas,ALONSO DE ALVARADO,19886,"294,2",92.07,"69,50",,,,
220604,San Martin,Mariscal Caceres,PACHIZA,4205,"1839,51",91.12,"74,10",,,,
220106,San Martin,Moyobamba,YANTALO,3536,"100,32",92.03,"45,20",,,,
220702,San Martin,Picota,BUENOS AIRES,3287,"272,97",82.36,"62,90",,,,
220809,San Martin,Rioja,YURACYACU,3914,"13,74",90.74,"33,40",,,,
220902,San Martin,San Martin,ALBERTO LEVEAU,645,"268,4",59.46,"65,80",,,,
221005,San Martin,Tocache,UCHIZA,20197,"723,73",72.82,"43,40",,,,
230202,Tacna,Candarave,CAIRANI,1299,"371,17",84.88,"16,90",,,,
230408,Tacna,Tarata,TICACO,547,"347,06",93.46,"46,30",,,,
240203,Tumbes,Contralmirante Villar,CANOAS DE PUNTA SAL,5700,"623,34",73.62,"37,30",,,,
240101,Tumbes,Tumbes,TUMBES,115562,"158,14",83.79,"28,30",,,,
240302,Tumbes,Zarumilla,AGUAS VERDES,24781,"46,06",80.35,"35,50",,,,
250204,Ucayali,Atalaya,YURUA,2716,"9175,58",69.40,"85,50",,,,
250101,Ucayali,Coronel Portillo,CALLERIA,159364,"10485,41",92.23,"39,10",,,,
250301,Ucayali,Padre Abad,PADRE ABAD,26614,"4689,2",59.06,"47,00",,,,
250401,Ucayali,Purus,PURUS,4657,"17847,76",72.88,"70,70",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
